signal_id,market_id,snapshot_type,snapshot_time_utc,best_bid,best_ask,yes_price
933391e4-947e-41f3-ae30-b240b8e8696b,920355,1h,2026-01-22 19:02:29.777698+00:00,0.086,0.182,0.134
fd7d7fbd-2554-46ec-aff9-08f7dd6549b4,1065983,1h,2026-01-22 19:02:29.777698+00:00,0.22,0.54,0.38
adb4ab6f-123e-4074-8365-37d5fcf30885,920355,1h,2026-01-22 19:02:29.777698+00:00,0.086,0.182,0.134
e6d28e2f-e66a-4285-9721-67bd1e1619eb,1236230,24h,2026-01-22 19:48:53.001581+00:00,0.12,0.13,0.125
2891cb54-9ea8-43b1-8efb-ad432ca154bf,1032304,24h,2026-01-22 19:48:53.001581+00:00,0.534,0.565,0.5495
5909aa0d-f2ac-4b2f-8c78-bafe1a3fd983,1082795,24h,2026-01-22 19:48:53.001581+00:00,0.41,0.44,0.425
e2f8b6b0-9d6f-4424-88fc-759500ceeaf3,1082797,24h,2026-01-22 19:48:53.001581+00:00,0.45,0.47,0.46
9579de8a-858f-40af-8bd9-f332f7c43319,1192702,24h,2026-01-22 19:48:53.001581+00:00,0.999,1.0,1
622823a2-8458-4cd7-91d7-75ef98d5e860,1192705,24h,2026-01-22 19:48:53.001581+00:00,,0.001,0
c64b3ac2-758c-4389-8353-11eed3206311,1217482,24h,2026-01-22 19:48:53.001581+00:00,0.14,0.15,0.145
bac17643-fc99-4a2d-bebb-371b0cc0d985,1065983,1h,2026-01-22 20:18:48.588440+00:00,0.09,0.14,0.115
40c1b414-e998-475e-a588-830448347e7d,1065983,1h,2026-01-22 20:45:37.479063+00:00,0.13,0.18,0.155
8d6998f5-7f41-422c-9121-76dc8135c1c9,1236531,24h,2026-01-22 22:16:42.613206+00:00,,0.001,0
fbd9b9ff-5140-46c0-8d4d-8bd29a77b729,1065983,24h,2026-01-22 22:57:39.282639+00:00,0.011,0.041,0.026
0d16b75f-97ff-4eb4-bc8e-b84be2e33f70,1236531,24h,2026-01-22 22:57:39.282639+00:00,,0.001,0
e6a99817-96c5-472a-8dea-09989fdb81f1,1199783,1h,2026-01-22 22:57:39.282639+00:00,0.189,0.206,0.1975
742f5535-ca54-42b6-a595-63e0d67715cb,1243277,1h,2026-01-23 00:57:45.076093+00:00,0.2,0.3,0.25
9f95eff3-65d6-4cf4-85ce-0e46906bde89,1236531,24h,2026-01-23 02:56:56.927544+00:00,,0.001,0
9a7d3a23-d358-4252-abb1-90cea4d396ea,676786,1h,2026-01-23 04:02:20.005519+00:00,0.044,0.3,0.172
344b825d-ae66-4233-9ffa-5c849e79f4ab,1032304,1h,2026-01-23 04:02:20.005519+00:00,0.776,0.791,0.7835
cea8323a-e5ae-47d6-b83f-54c59563028f,1172396,1h,2026-01-23 05:20:20.154481+00:00,0.277,0.298,0.2875
e4458eba-7ec7-488f-afc2-744c0d18f409,1065983,24h,2026-01-23 06:27:12.990212+00:00,0.02,0.026,0.023
fa293c8a-4646-4eb5-a612-e30621c49a2c,663472,24h,2026-01-23 11:41:07.457620+00:00,0.24,0.26,0.25
9f3359f8-e78e-43f8-a754-c10585ae48bb,920347,24h,2026-01-23 11:41:07.457620+00:00,0.03,0.037,0.0335
3e050546-85e4-492f-b52b-cdaf193ed877,663472,24h,2026-01-23 11:54:52.765785+00:00,0.24,0.26,0.25
0da9f47c-203a-41c9-a0f4-2d58b6262cf0,1065913,1h,2026-01-23 12:24:22.913350+00:00,0.57,0.65,0.61
cdf4e1e8-3cc9-42fe-907d-1f2391f8e987,690701,24h,2026-01-23 13:14:21.514046+00:00,0.981,0.994,0.9875
a1093be8-3372-435b-8adc-eecafe20372e,690702,24h,2026-01-23 13:14:21.514046+00:00,0.71,0.77,0.74
2bd6deaf-8284-498e-9bb4-154dce7c673d,1192651,24h,2026-01-23 14:17:02.654047+00:00,,0.001,0
bdb902dd-33aa-424d-a4c5-b1b2539b50e0,1192705,24h,2026-01-23 14:17:02.654047+00:00,,0.001,0
39de70eb-5344-426a-a476-16528ccb68f1,1114183,1h,2026-01-23 15:00:46.572678+00:00,0.42,0.57,0.495
cd1e018c-8675-4de7-95b5-0848603a3529,1065913,1h,2026-01-23 15:00:46.572678+00:00,0.22,0.25,0.235
bf351908-6dcd-41db-8714-b0e8579a9fa0,1192705,24h,2026-01-23 15:28:44.546177+00:00,,0.001,0
